typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20240101,2024,52,2024,579,NOR,Norway,X,Export,0,W00,World,0,W00,World,H6,HS,TRUE,740319,"Copper; refined, unwrought, n.e.c. in item no. 7403.1",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,422,FALSE,8,kg,422,FALSE,422,FALSE,0,FALSE,,9292.595,9292.595,0,FALSE,TRUE
C,A,20240101,2024,52,2024,620,PRT,Portugal,M,Import,0,W00,World,0,W00,World,H6,HS,TRUE,740319,"Copper; refined, unwrought, n.e.c. in item no. 7403.1",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1141689,FALSE,8,kg,1141689,FALSE,1141689,FALSE,0,FALSE,10390370.76,,10390370.76,0,FALSE,TRUE
C,A,20240101,2024,52,2024,620,PRT,Portugal,X,Export,0,W00,World,0,W00,World,H6,HS,TRUE,740319,"Copper; refined, unwrought, n.e.c. in item no. 7403.1",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,610881,FALSE,8,kg,610881,FALSE,610881,FALSE,0,FALSE,,4758804.754,4758804.754,0,FALSE,TRUE
C,A,20240101,2024,52,2024,710,ZAF,South Africa,M,Import,0,W00,World,0,W00,World,H6,HS,TRUE,260300,Copper ores and concentrates,6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,25621.31,TRUE,-1,N/A,0,FALSE,0,TRUE,0,FALSE,,57903.75,57903.75,6,FALSE,TRUE
C,A,20240101,2024,52,2024,710,ZAF,South Africa,X,Export,0,W00,World,0,W00,World,H6,HS,TRUE,260300,Copper ores and concentrates,6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,121148056.5,TRUE,-1,N/A,0,FALSE,121148056.5,TRUE,0,FALSE,,226211776.1,226211776.1,6,FALSE,TRUE
C,A,20240101,2024,52,2024,710,ZAF,South Africa,M,Import,0,W00,World,0,W00,World,H6,HS,TRUE,740311,"Copper; refined, unwrought, cathodes and sections of cathodes",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,23293464.1,TRUE,-1,N/A,0,FALSE,0,TRUE,0,FALSE,,205426926.9,205426926.9,6,FALSE,TRUE
C,A,20240101,2024,52,2024,710,ZAF,South Africa,X,Export,0,W00,World,0,W00,World,H6,HS,TRUE,740311,"Copper; refined, unwrought, cathodes and sections of cathodes",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,21615950.15,TRUE,-1,N/A,0,FALSE,21615950.15,TRUE,0,FALSE,,191038628.2,191038628.2,6,FALSE,TRUE
C,A,20240101,2024,52,2024,710,ZAF,South Africa,M,Import,0,W00,World,0,W00,World,H6,HS,TRUE,740312,"Copper; refined, unwrought, wire-bars",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,FALSE,-1,N/A,0,FALSE,,FALSE,0,FALSE,,8224.648,8224.648,0,FALSE,TRUE
C,A,20240101,2024,52,2024,710,ZAF,South Africa,M,Import,0,W00,World,0,W00,World,H6,HS,TRUE,740313,"Copper; refined, unwrought, billets",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,20547.822,TRUE,-1,N/A,0,FALSE,0,TRUE,0,FALSE,,201365.624,201365.624,6,FALSE,TRUE
C,A,20240101,2024,52,2024,710,ZAF,South Africa,X,Export,0,W00,World,0,W00,World,H6,HS,TRUE,740313,"Copper; refined, unwrought, billets",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,2368213.601,TRUE,-1,N/A,0,FALSE,2368213.601,TRUE,0,FALSE,,22684424.75,22684424.75,6,FALSE,TRUE
C,A,20240101,2024,52,2024,710,ZAF,South Africa,M,Import,0,W00,World,0,W00,World,H6,HS,TRUE,740319,"Copper; refined, unwrought, n.e.c. in item no. 7403.1",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,80206.366,TRUE,-1,N/A,0,FALSE,0,TRUE,0,FALSE,,753806.978,753806.978,6,FALSE,TRUE
C,A,20240101,2024,52,2024,710,ZAF,South Africa,X,Export,0,W00,World,0,W00,World,H6,HS,TRUE,740319,"Copper; refined, unwrought, n.e.c. in item no. 7403.1",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,27687656.28,TRUE,-1,N/A,0,FALSE,27687656.28,TRUE,0,FALSE,,253452878.6,253452878.6,6,FALSE,TRUE
C,A,20240101,2024,52,2024,757,CHE,Switzerland,M,Import,0,W00,World,0,W00,World,H6,HS,TRUE,260300,Copper ores and concentrates,6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,2341.303,TRUE,-1,N/A,0,FALSE,2341.303,TRUE,0,FALSE,8727.688,,8727.688,6,FALSE,TRUE
C,A,20240101,2024,52,2024,757,CHE,Switzerland,X,Export,0,W00,World,0,W00,World,H6,HS,TRUE,260300,Copper ores and concentrates,6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1266.326,TRUE,-1,N/A,0,FALSE,1266.326,TRUE,0,FALSE,,2356.317,2356.317,6,FALSE,TRUE
